StageName,StageType,Result,Resource Start,Direction,Name,Field,Row,Type,Value
,,,,OUT,Result Collection,Job Type,2,Text, Full-time 
,,,,OUT,Result Collection,Job Level,2,Text, Mid-Senior level
,,,,OUT,Result Collection,Company Size,2,Text,51-200 employees
,,,,OUT,Result Collection,Company Type,2,Text,Staffing and Recruiting
,,,,OUT,Result Collection,About Company,2,Text,"About the jobSenior RPA Developer - RPA, UiPath, Celonis, ABBYY - Finance, P2P, O2CSalary: £50,0000 - £75,000 + Bonus and BenefitsLocation: UKOrbis have partnered with a leading international consultancy with over 100 clients, who look to design and implement next generation operating models, optimized processes and embed automation to find a Technical Lead (RPA, UiPath).This company has a primary focus on using innovation and tech to deliver more for each client. For the past 10 years they have bought experienced data tools and practitioners to help automate processes and drive transformation and real results delivered with assurance and high efficiency.You will be asked to help build automation, providing solutions with interesting and challenging projects. With a highly skilled team with an abundance of experience, in this highly driven, fast paced environment you will be working closely with stakeholders to ensure that solutions are met and built to fit all needs required.Key Responsibilities –Work with BA's to access and understand potential automation solutions to real life business problems.Provide clear, detailed documentation.Support existing automation's including, root cause analysis, clean-up, and bug fixes.Provide solutions and efficient models that can be translated to stakeholders.Work on high impact projects with high efficiencyContribute to design, build, implementation, testing and maintenance/support of automation solutions.Key Experience –2+ years’ experience in using and building with UiPath.Strong Understanding of best practices with operating models, optimized processes, and automationBeen involved in successful and high impact projects.Can translate models and results to stakeholders and clients.Don’t pass this opportunity if you want to join a leading consultancy with ample of growth opportunities and benefits. As well as work closely with stakeholders driving and automating successful projects!Please send a copy of your CV directly to this advertisement for immediate consideration."
,,,,OUT,Result Collection,Job Keyword,3,Text,RPA Developer
,,,,OUT,Result Collection,Job Title,3,Text,Senior RPA Developer - CRM
,,,,OUT,Result Collection,Company Name,3,Text,Hargreaves Lansdown
,,,,OUT,Result Collection,Location,3,Text,"Bristol, England, United Kingdom"
,,,,OUT,Result Collection,Posted,3,Text,3 days ago
,,,,OUT,Result Collection,Applicants,3,Text,56 applicants
,,,,OUT,Result Collection,Salary,3,Text,Not Provided
,,,,OUT,Result Collection,Remote/Hybrid,3,Text,"Remote
"
,,,,OUT,Result Collection,Job Type,3,Text, Full-time 
,,,,OUT,Result Collection,Job Level,3,Text, Mid-Senior level
,,,,OUT,Result Collection,Company Size,3,Text,"1,001-5,000 employees"
,,,,OUT,Result Collection,Company Type,3,Text,Financial Services
,,,,OUT,Result Collection,About Company,3,Text,"About the jobExcited to grow your career?Our purpose is to empower people to save and invest with confidence. We are looking for great people to join us, so please come and invest in YOUR future at HL. About the role Salary: Up to £65,000 dependent on experience We are looking for talented people to join our CRM team as we embark upon our RPA journey. If you are someone with a wealth of RPA experience and want to work on a green field implementation, then we could have a role for you. This is an opportunity to join the UK's number one investment services company, looking after over £120 billion in assets on behalf of 1.8 million UK investors. We are a secure, FTSE 250 company, based in the heart of Bristol now with over 2,700 people. This is your chance to genuinely stamp your mark on one of the UK's most innovative and digital-focused businesses. You'll be given the support and opportunity to grow your career whilst additionally receiving a personal development budget to further build on your knowledge.  What you'll be doingParticipate in the full application life cycle - design, development, testing, and deploymentWork with technical teams and architects to finalise architectural specifications - and create solution and integration designsSetting up, testing and monitoring automated workflows to ensure that business processes function at optimum efficiency without risk of errorMonitoring and maintaining automation post-implementation and resolving any potential issues to ensure smooth business operationsAssist in identifying, troubleshooting, and resolving defects encountered during various stages of project delivery, including during the deployment and implementation of the solution in production environmentsProduce project documentation, including functional and technical designsMaintain standards and best practices and educate our teamMentor developers, while learning from othersCultivate strong working relationships both within working squad and in HL as a whole  About youPossess excellent problem-solving skillsHave excellent written and verbal communicationGreat attention to detailMastery of Automation tools, such as Mulesoft RPA, UiPath, Blue Prism and/or Automation Anywhere  Interview process2 stage interview process, 1 informal chat, 1 technical / competency focused interview.  Working ScheduleStandard Mon - Fri, 09:00 - 17:30 (we are however very flexible on working schedule so please do reach out with any requirements)  Why us?Here at HL, we're the UK's number 1 investment platform for private investors, based in Bristol. For more than 40 years we've helped investors save time, tax and money on their investments. To achieve our mission, we believe we have a workplace like no other, with constant learning, dynamic teams, and a great ethos. We're steered by core values that promote service, quality, innovation, and opportunity in everything we do. What's on offer?Discretionary annual bonus &amp; annual pay review25* days holiday plus bank holidays and 1-day additional Christmas closure timeOption to purchase an additional 5 days holiday per yearFlexible working options available, including hybrid workingPension scheme up to 11% employer contributionSharesave scheme - have a real stake in HL's futureIncome Protection &amp; Life insurance (4 x salary core level of cover)Health care cash plans - including optical, dental, and out patientcareHelp@hand and an Employee Assistance ProgrammeGympass - gym memberships and wellbeing apps availableVariety of travel to work schemes with free bike storage and shower facilitiesAn inhouse barista serving subsidised coffee and snacksJoin HL's sports, I&amp;D networks and volunteering groups (two paid volunteering days per year)LifeWorks Discounts on services, restaurants and retailers* up to 30 days depending on role level &amp; increasing with length of service  We know that sometimes people can be put off applying for a job if they don't tick every box. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. We'd love to hear from you! Hargreaves Lansdown is an inclusive employer that values diversity in its workforce. We encourage applications from all individuals without regard to race, religion, gender, sexual orientation, national origin, disability or age. This role may also be available on a flexible working or part time basis - please ask the Recruitment &amp; Onboarding team for more information. Please note, we are unable to provide employment sponsorship to candidates."
Append Results to Global Collection,Action,,2/9/2024 13:38,,,,,,
,,,,,,,,,
,,,,IN,Main Collection,,,,
,,,,IN,Collection to Append,,,,
,,,,IN,Main Collection,Job Keyword,1,Text,
,,,,IN,Main Collection,Job Title,1,Text,
,,,,IN,Main Collection,Company Name,1,Text,
,,,,IN,Main Collection,Location,1,Text,
,,,,IN,Main Collection,Posted,1,Text,
,,,,IN,Main Collection,Applicants,1,Text,
,,,,IN,Main Collection,Salary,1,Text,
,,,,IN,Main Collection,Remote/Hybrid,1,Text,
,,,,IN,Main Collection,Job Type,1,Text,
,,,,IN,Main Collection,Job Level,1,Text,
,,,,IN,Main Collection,Company Size,1,Text,
,,,,IN,Main Collection,Company Type,1,Text,
,,,,IN,Main Collection,About Company,1,Text,
,,,,IN,Collection to Append,Job Keyword,2,Text,
,,,,IN,Collection to Append,Job Title,2,Text,
,,,,IN,Collection to Append,Company Name,2,Text,
,,,,IN,Collection to Append,Location,2,Text,
,,,,IN,Collection to Append,Posted,2,Text,
,,,,IN,Collection to Append,Applicants,2,Text,
,,,,IN,Collection to Append,Salary,2,Text,
,,,,IN,Collection to Append,Remote/Hybrid,2,Text,
,,,,IN,Collection to Append,Job Type,2,Text,
,,,,IN,Collection to Append,Job Level,2,Text,
,,,,IN,Collection to Append,Company Size,2,Text,
,,,,IN,Collection to Append,Company Type,2,Text,
,,,,IN,Collection to Append,About Company,2,Text,
,,,,IN,Collection to Append,Job Keyword,3,Text,RPA Developer
,,,,IN,Collection to Append,Job Title,3,Text,"Senior RPA Developer - UiPath, Celonis, ABBYY"
,,,,IN,Collection to Append,Company Name,3,Text,Orbis
,,,,IN,Collection to Append,Location,3,Text,United Kingdom
,,,,IN,Collection to Append,Posted,3,Text,Reposted 5 months ago
,,,,IN,Collection to Append,Applicants,3,Text,Over 100 applicants
,,,,IN,Collection to Append,Salary,3,Text,"£50,000/yr - £75,000/yr "
,,,,IN,Collection to Append,Remote/Hybrid,3,Text,"Remote
"
,,,,IN,Collection to Append,Job Type,3,Text, Full-time 
,,,,IN,Collection to Append,Job Level,3,Text, Mid-Senior level
,,,,IN,Collection to Append,Company Size,3,Text,51-200 employees
,,,,IN,Collection to Append,Company Type,3,Text,Staffing and Recruiting
,,,,IN,Collection to Append,About Company,3,Text,"About the jobSenior RPA Developer - RPA, UiPath, Celonis, ABBYY - Finance, P2P, O2CSalary: £50,0000 - £75,000 + Bonus and BenefitsLocation: UKOrbis have partnered with a leading international consultancy with over 100 clients, who look to design and implement next generation operating models, optimized processes and embed automation to find a Technical Lead (RPA, UiPath).This company has a primary focus on using innovation and tech to deliver more for each client. For the past 10 years they have bought experienced data tools and practitioners to help automate processes and drive transformation and real results delivered with assurance and high efficiency.You will be asked to help build automation, providing solutions with interesting and challenging projects. With a highly skilled team with an abundance of experience, in this highly driven, fast paced environment you will be working closely with stakeholders to ensure that solutions are met and built to fit all needs required.Key Responsibilities –Work with BA's to access and understand potential automation solutions to real life business problems.Provide clear, detailed documentation.Support existing automation's including, root cause analysis, clean-up, and bug fixes.Provide solutions and efficient models that can be translated to stakeholders.Work on high impact projects with high efficiencyContribute to design, build, implementation, testing and maintenance/support of automation solutions.Key Experience –2+ years’ experience in using and building with UiPath.Strong Understanding of best practices with operating models, optimized processes, and automationBeen involved in successful and high impact projects.Can translate models and results to stakeholders and clients.Don’t pass this opportunity if you want to join a leading consultancy with ample of growth opportunities and benefits. As well as work closely with stakeholders driving and automating successful projects!Please send a copy of your CV directly to this advertisement for immediate consideration."
,,,,IN,Collection to Append,Job Keyword,4,Text,RPA Developer
,,,,IN,Collection to Append,Job Title,4,Text,Senior RPA Developer - CRM
,,,,IN,Collection to Append,Company Name,4,Text,Hargreaves Lansdown
,,,,IN,Collection to Append,Location,4,Text,"Bristol, England, United Kingdom"
,,,,IN,Collection to Append,Posted,4,Text,3 days ago
,,,,IN,Collection to Append,Applicants,4,Text,56 applicants
,,,,IN,Collection to Append,Salary,4,Text,Not Provided
,,,,IN,Collection to Append,Remote/Hybrid,4,Text,"Remote
"
,,,,IN,Collection to Append,Job Type,4,Text, Full-time 
,,,,IN,Collection to Append,Job Level,4,Text, Mid-Senior level
,,,,IN,Collection to Append,Company Size,4,Text,"1,001-5,000 employees"
,,,,IN,Collection to Append,Company Type,4,Text,Financial Services
,,,,IN,Collection to Append,About Company,4,Text,"About the jobExcited to grow your career?Our purpose is to empower people to save and invest with confidence. We are looking for great people to join us, so please come and invest in YOUR future at HL. About the role Salary: Up to £65,000 dependent on experience We are looking for talented people to join our CRM team as we embark upon our RPA journey. If you are someone with a wealth of RPA experience and want to work on a green field implementation, then we could have a role for you. This is an opportunity to join the UK's number one investment services company, looking after over £120 billion in assets on behalf of 1.8 million UK investors. We are a secure, FTSE 250 company, based in the heart of Bristol now with over 2,700 people. This is your chance to genuinely stamp your mark on one of the UK's most innovative and digital-focused businesses. You'll be given the support and opportunity to grow your career whilst additionally receiving a personal development budget to further build on your knowledge.  What you'll be doingParticipate in the full application life cycle - design, development, testing, and deploymentWork with technical teams and architects to finalise architectural specifications - and create solution and integration designsSetting up, testing and monitoring automated workflows to ensure that business processes function at optimum efficiency without risk of errorMonitoring and maintaining automation post-implementation and resolving any potential issues to ensure smooth business operationsAssist in identifying, troubleshooting, and resolving defects encountered during various stages of project delivery, including during the deployment and implementation of the solution in production environmentsProduce project documentation, including functional and technical designsMaintain standards and best practices and educate our teamMentor developers, while learning from othersCultivate strong working relationships both within working squad and in HL as a whole  About youPossess excellent problem-solving skillsHave excellent written and verbal communicationGreat attention to detailMastery of Automation tools, such as Mulesoft RPA, UiPath, Blue Prism and/or Automation Anywhere  Interview process2 stage interview process, 1 informal chat, 1 technical / competency focused interview.  Working ScheduleStandard Mon - Fri, 09:00 - 17:30 (we are however very flexible on working schedule so please do reach out with any requirements)  Why us?Here at HL, we're the UK's number 1 investment platform for private investors, based in Bristol. For more than 40 years we've helped investors save time, tax and money on their investments. To achieve our mission, we believe we have a workplace like no other, with constant learning, dynamic teams, and a great ethos. We're steered by core values that promote service, quality, innovation, and opportunity in everything we do. What's on offer?Discretionary annual bonus &amp; annual pay review25* days holiday plus bank holidays and 1-day additional Christmas closure timeOption to purchase an additional 5 days holiday per yearFlexible working options available, including hybrid workingPension scheme up to 11% employer contributionSharesave scheme - have a real stake in HL's futureIncome Protection &amp; Life insurance (4 x salary core level of cover)Health care cash plans - including optical, dental, and out patientcareHelp@hand and an Employee Assistance ProgrammeGympass - gym memberships and wellbeing apps availableVariety of travel to work schemes with free bike storage and shower facilitiesAn inhouse barista serving subsidised coffee and snacksJoin HL's sports, I&amp;D networks and volunteering groups (two paid volunteering days per year)LifeWorks Discounts on services, restaurants and retailers* up to 30 days depending on role level &amp; increasing with length of service  We know that sometimes people can be put off applying for a job if they don't tick every box. If you're excited about working for us and have most of the skills or experience we're looking for, please go ahead and apply. We'd love to hear from you! Hargreaves Lansdown is an inclusive employer that values diversity in its workforce. We encourage applications from all individuals without regard to race, religion, gender, sexual orientation, national origin, disability or age. This role may also be available on a flexible working or part time basis - please ask the Recruitment &amp; Onboarding team for more information. Please note, we are unable to provide employment sponsorship to candidates."
,,,,OUT,Combined Collection,,,,
,,,,OUT,Combined Collection,Job Keyword,1,Text,
,,,,OUT,Combined Collection,Job Title,1,Text,
,,,,OUT,Combined Collection,Company Name,1,Text,
,,,,OUT,Combined Collection,Location,1,Text,
,,,,OUT,Combined Collection,Posted,1,Text,
,,,,OUT,Combined Collection,Applicants,1,Text,
,,,,OUT,Combined Collection,Salary,1,Text,
,,,,OUT,Combined Collection,Remote/Hybrid,1,Text,
,,,,OUT,Combined Collection,Job Type,1,Text,
,,,,OUT,Combined Collection,Job Level,1,Text,
,,,,OUT,Combined Collection,Company Size,1,Text,
,,,,OUT,Combined Collection,Company Type,1,Text,
,,,,OUT,Combined Collection,About Company,1,Text,
,,,,OUT,Combined Collection,Job Keyword,2,Text,
,,,,OUT,Combined Collection,Job Title,2,Text,
,,,,OUT,Combined Collection,Company Name,2,Text,
,,,,OUT,Combined Collection,Location,2,Text,
,,,,OUT,Combined Collection,Posted,2,Text,
,,,,OUT,Combined Collection,Applicants,2,Text,
,,,,OUT,Combined Collection,Salary,2,Text,
,,,,OUT,Combined Collection,Remote/Hybrid,2,Text,
,,,,OUT,Combined Collection,Job Type,2,Text,
,,,,OUT,Combined Collection,Job Level,2,Text,
,,,,OUT,Combined Collection,Company Size,2,Text,
,,,,OUT,Combined Collection,Company Type,2,Text,
,,,,OUT,Combined Collection,About Company,2,Text,
,,,,OUT,Combined Collection,Job Keyword,3,Text,RPA Developer
,,,,OUT,Combined Collection,Job Title,3,Text,"Senior RPA Developer - UiPath, Celonis, ABBYY"
,,,,OUT,Combined Collection,Company Name,3,Text,Orbis
,,,,OUT,Combined Collection,Location,3,Text,United Kingdom
,,,,OUT,Combined Collection,Posted,3,Text,Reposted 5 months ago
,,,,OUT,Combined Collection,Applicants,3,Text,Over 100 applicants
,,,,OUT,Combined Collection,Salary,3,Text,"£50,000/yr - £75,000/yr "
,,,,OUT,Combined Collection,Remote/Hybrid,3,Text,"Remote
"
,,,,OUT,Combined Collection,Job Type,3,Text, Full-time 
,,,,OUT,Combined Collection,Job Level,3,Text, Mid-Senior level
,,,,OUT,Combined Collection,Company Size,3,Text,51-200 employees
,,,,OUT,Combined Collection,Company Type,3,Text,Staffing and Recruiting
,,,,OUT,Combined Collection,About Company,3,Text,"About the jobSenior RPA Developer - RPA, UiPath, Celonis, ABBYY - Finance, P2P, O2CSalary: £50,0000 - £75,000 + Bonus and BenefitsLocation: UKOrbis have partnered with a leading international consultancy with over 100 clients, who look to design and implement next generation operating models, optimized processes and embed automation to find a Technical Lead (RPA, UiPath).This company has a primary focus on using innovation and tech to deliver more for each client. For the past 10 years they have bought experienced data tools and practitioners to help automate processes and drive transformation and real results delivered with assurance and high efficiency.You will be asked to help build automation, providing solutions with interesting and challenging projects. With a highly skilled team with an abundance of experience, in this highly driven, fast paced environment you will be working closely with stakeholders to ensure that solutions are met and built to fit all needs required.Key Responsibilities –Work with BA's to access and understand potential automation solutions to real life business problems.Provide clear, detailed documentation.Support existing automation's including, root cause analysis, clean-up, and bug fixes.Provide solutions and efficient models that can be translated to stakeholders.Work on high impact projects with high efficiencyContribute to design, build, implementation, testing and maintenance/support of automation solutions.Key Experience –2+ years’ experience in using and building with UiPath.Strong Understanding of best practices with operating models, optimized processes, and automationBeen involved in successful and high impact projects.Can translate models and results to stakeholders and clients.Don’t pass this opportunity if you want to join a leading consultancy with ample of growth opportunities and benefits. As well as work closely with stakeholders driving and automating successful projects!Please send a copy of your CV directly to this advertisement for immediate consideration."
,,,,OUT,Combined Collection,Job Keyword,4,Text,RPA Developer
,,,,OUT,Combined Collection,Job Title,4,Text,Senior RPA Developer - CRM
,,,,OUT,Combined Collection,Company Name,4,Text,Hargreaves Lansdown
,,,,OUT,Combined Collection,Location,4,Text,"Bristol, England, United Kingdom"
,,,,OUT,Combined Collection,Posted,4,Text,3 days ago
,,,,OUT,Combined Collection,Applicants,4,Text,56 applicants
,,,,OUT,Combined Collection,Salary,4,Text,Not Provided
,,,,OUT,Combined Collection,Remote/Hybrid,4,Text,"Remote
"
,,,,OUT,Combined Collection,Job Type,4,Text, Full-time 
,,,,OUT,Combined Collection,Job Level,4,Text, Mid-Senior level
,,,,OUT,Combined Collection,Company Size,4,Text,"1,001-5,000 employees"
,,,,OUT,Combined Collection,Company Type,4,Text,Financial Services
