Job Keyword,Job Title,Company Name,Location,Posted,Applicants,Salary,Remote/Hybrid,Job Type,Job Level,Company Size,Company Type,About Company,Country
 Junior RPA Developer,Automation Engineer,West Pharmaceutical Services,"Dublin, County Dublin, Ireland",Reposted 1 week ago,3 applicants,Not Provided,Full-time , Associate,Not Provided,"5,001-10,000 employees",Pharmaceutical Manufacturing,"About the jobDescriptionAt West, we’re a dedicated team that is connected by a purpose to improve patient lives that has been at the center of our Company for more than a century. Our story began when Herman O. West solved the problem of supplying penicillin in mass quantities to the US Government during World War 2. Through our work to deliver thousands of life-saving and life-enhancing injectable medicines to millions of patients daily, West’s indelible mark on the healthcare industry has just begun. A name started our story. How will yours help write our future?There’s no better place to join an inclusive community of professionals with opportunities for lifelong learning, growth and development. Supported by benefit programs, we empower the physical, mental, emotional and financial health of our team members and their families.We believe in giving back to help those in need in the communities where we live and work. And are equally committed to creating a healthier environment and planet through our sustainability efforts.Job SummaryWorking within the Operations or Development Department supporting new manufacturing projects. Specifying, purchasing, and managing the implementation of new manufacturing solutions to meet the requirements of customers’ new product introductions. Reporting directly to the Senior Automation Engineer or above.Essential Duties And Responsibilities Manage new equipment process and product introduction projects.  Develop and implement manufacturing strategy to meet customer and West’s needs.  Establish and manage project teams, identifying deliverables, time, and cost, setting priorities, and reporting to meet the needs of the business and the customer.  Establishes relationships with the customers and equipment suppliers in pursuit of new business, product development, manufacturing process development, continuous improvement, and on-going business development.  Manage equipment suppliers ensuring delivery meets specification, cost, and time.  Ensure that new equipment meets the regulatory requirements of the business, validation, health, and safety etc.  Install new equipment with appropriate training and hand over to operations.  Work with all departments across the business to ensure that new processes meet their requirements.  Identify, specify, and introduce new manufacturing methods and opportunities into the company.  Represent West at customer meetings to ensure that the needs of the business are met.  Assist with the training and development of personnel on new processes or systems introduced to the company.  Ensure that procedures and systems are in place to facilitate the introduction of new processes and equipment.  Take the role of technical expert in the field of automated manufacturing processes and develop the understanding and competency of the business to meet the requirements of customers.  Compliance to all site Environmental, Health and Safety requirements training, and regulations.  Compliance to all local site company policies, procedures, and corporate policies.  Perform additional duties at the request of the direct supervisor.  Act in accordance with the company’s guiding principles and adhere to the corporate Code of Conduct. Basic Qualifications Must have a minimum of a NFQ Level 7 Degree in engineering or equivalent. A degree in Automation, Mechatronics or Mechanical Engineering is preferred.  Must have at least 3 years’ experience in engineering.  Must be familiar with the hardware and software components of PLCs and vision control systems. Preferably with Allen Bradley or Siemens PLCs and Cognex Vision systems.  Must have high level knowledge Barcode Scanning & RFID Automatic Identification and Data Capture used in High Volume Manufacturing.  Must have high level knowledge of Industrial Networks architectures (Ethernet IP, Control Net & Profibus) and have an ability to fault find network problems.  Must have a very good knowledge of machine control systems and integrated manufacturing control systems including MES and Batch Manufacturing along with practical experience in querying SQL Databases  Must have a very good knowledge of manufacturing automation, machine design, development, and validation process. Excellent understanding on GAMP 5 guidelines will also be an advantage.  Must have experience in a customer facing environment. Preferred Knowledge, Skills, And Abilities Preferably have a knowledge of EU-GMP.  Preferably worked in either the medical, packaging, or technological industries with a good understanding of the regulatory requirements and exposure to serialization.  Excellent understanding of MS Project would be a distinct advantage as would certification in a project management discipline i.e., PMP (Project Management Professional).  Aware of all relevant standard operating procedures as per Company policy as they are related to the position covered by this Job Description.  Lean Sigma certification. Travel Requirements Must be able to travel up to 10% of the time. Physical And Mental Requirements This job is classified as light since the candidate will work mainly seated in front of their computer and only occasionally help with hands-on tasks on the production floor.  Strong decision-making abilities and an ability to be assertive when required.  Excellent written and verbal communication skills, with experience interacting with senior stakeholders and executive teams.  Must be able to organize and prioritize tasks; must be detail orientated and self-motivated.  Must be able to deal with all levels of employees and work across various departments.  Must be able to work in a fast-paced environment. Delegation Of DutiesWhen absent from the site duties and responsibilities will be delegated to the following designates: Automation Manager  Senior Automation Engineer  Automation Technician West embraces diversity and equality of opportunity. We foster an environment where all individuals are safe, treated fairly, valued and respected. We do not discriminate on the basis of race, religion, color, national origin, gender, sex, gender identity, sexual orientation, age, marital status, veteran status, disability status or other applicable legally protected characteristics. Where permitted by law, employment with West Pharmaceutical Services, Inc. or any of its subsidiary or affiliate companies, is contingent upon the satisfactory completion of post-offer background screening and/or drug screening. ",ireland
 Junior RPA Developer,Robotics Engineer,Remobi,European Economic Area,2 weeks ago,55 applicants,Not Provided,"Remote
", Contract , Mid-Senior level,51-200 employees,"Technology, Information and Internet","About the jobRobotic Process Automation Engineer  We are building the world's greatest community of remote technologists!Today, organisations that understand the value of remote working will reap the rewards. Because it doesn’t just provide team members with a healthier work-life balance, it gives you the opportunity to access the brightest minds in the world.Our clients access our community to build or extend their existing teams. All are made up of remote, distributed software engineering experts - the best-in-class. Rapidly deployed without compromising on quality.Join our Remobi community to have access to meaningful, innovative freelance projects and play a key role in shaping how companies operate.Job Title: Robotic Process Automation Engineer Location: Remote Duration: Six Months Utilization: 40 hours/weekPosition Type: Freelance/Contract/B2BYour Responsibilities:The RPA Engineer utilizing Microsoft PowerApps is tasked with creating, deploying, and sustaining automated solutions aimed at streamlining business processes through the utilization of PowerApps and additional RPA tools.Identify, assess, and record business processes suitable for automation using Microsoft PowerApps.Devise and implement Robotic Process Automation (RPA) solutions with Microsoft PowerApps, considering business needs, system integration, and scalability.Develop and execute automated workflows via PowerApps, integrating seamlessly with other systems and applications to enhance the efficiency of business processes.Customize PowerApps applications to automate manual tasks, elevate data accuracy, and enhance user interaction.Establish integration between PowerApps and diverse data sources and APIs, automating processes related to data entry, extraction, and validation.Collaborate with QA Engineers to test, validate, and deploy RPA solutions created with PowerApps, ensuring functionality, usability, and reliability.Record details of RPA solutions, encompassing design specifications, technical documentation, and user guides, promoting knowledge transfer and facilitating future maintenance.Issue Resolution and Assistance: Identify and resolve issues tied to PowerApps-based RPA solutions, offering support to end-users and collaborating with other teams as needed.Training and Knowledge Exchange: Conduct end-user training on the effective utilization of PowerApps-based RPA solutions and share best practices within the team.Continuous Enhancement: Continuously evaluate and enhance RPA solutions, pinpointing opportunities for improvement, optimization, and the automation of additional processes.Your background:Mastery in Microsoft PowerApps and Power Automate.Hands-on expertise in crafting and executing RPA solutions employing PowerApps and other RPA tools.Understanding of concepts related to business process automation and optimization.Acquaintance with data integration and API development.Comprehension of software development principles and practices.Certifications in Microsoft Power Platform or RPA tools are advantageous.",ireland
 Junior RPA Developer,Electrical Engineer,Murphy Ireland,"Dublin, County Dublin, Ireland",Reposted 1 month ago,Over 100 applicants,Not Provided,"On-site
", Full-time,Not Provided,"501-1,000 employees",Civil Engineering,"About the jobThe RoleThis is an exciting opportunity to join an established Contractor. The successful candidate will join the Murphy Water business within the Projects Department / Electrical Design Department. Murphy focus on recruiting and retaining our employees so that the company can continue to develop and succeed within the industry. Murphy is committed to developing our staff and our CPD Programme is accredited by Engineers Ireland. The position of an Electrical Engineer would suit a motivated, practical, and adaptable individual who has the ambition to gain Chartered Engineer status and wishes to work in a progressive and innovative contracting environment. Working under the direct supervision of a Chartered Electrical Engineer, and in conjunction with process and automation engineers the post holder will support the delivery of a range of water treatment projects across the Republic and Northern Ireland and the UK. The design work will include electrical design and planning of water treatment plants. This will involve the following but not limited to: design of circuitry for electrical mains power and sub power circuits, MCC design and testing, Starter selection with VSDs & DOLs to suit various process applications, instrumentation circuitry design and implementation, reviewing of Process Flow Diagrams in conjunction with site layout drawings and building services design and implantation using Amtech electrical & DIAlux design software packages, liaison with equipment vendors, and subcontractor partners across a range of water treatment projects.  Candidate must be: · Computer literate.· Team player, adaptable and practical.· Excellent interpersonal, organisational and communication skills.· Strong attention to detail.· Ability to work well on own initiative. DutiesThe role of an Electrical Engineer within Murphy Water will require the individual to undertake the following duties: · Prepare electrical specifications / scope of work for water treatment plant equipment; mains power connections, power generators MCC’s, transformers, motor starters VSDs & DOLs, electric actuators, , instrumentation (Level Pressure, Flow & analytical) electrical network architecture, & electric design schedules, cable schedules, PLC architecture & IO schedules, general service drawings for contracts and tenders.· Carry out design calculations for cable-sizing, short circuit calculations, lighting calculations, power balance studying / plant load calculations etc using design software such as Amtech software. · Review of electrical power / instrumentation schematic arrangements. Prepares sketches and performs engineering calculations.· Specifications for: instrument schematics, loop and layout drawings. · Selection, specification and design of process instrumentation and safety instrumented systems.· Interface with our Controls and Automation Team in the development of Functional Design Specifications. To know understand & research current rules & regulation for electrical design & installation of electrical systems.Skills/ Experience· 0-7 years’ experience working post university.· Electrical engineering background.· Power transmission and low voltage distribution systems· Control & Automation Systems & MCCs. · VSD, DOLs.· Knowledge in PLC Networks.· Industrial Instrumentation.· Lighting Calculations.· Building Services Systems.· AutoCAD.Qualifications· Electrical Engineering degree or equivalent a pre-requisite.· Computer literate and able to work effectively with the basic Microsoft suite of programmes as a minimum· Good understanding of the electrical design process and ability to demonstrate working knowledge of brief/scope documents, design concepts as well as some experience technically i.e. calculationsCommercial awareness.What Murphy Ireland offer in return:Competitive salary and benefits, including annual bonus scheme27 days annual leave per annumDefined Contribution Pension scheme available from day oneGenerous Private Healthcare AllowanceDedicated and continued investment in your professional development",ireland
 Junior RPA Developer,Automation Engineer,HERO Recruitment,"Limerick, County Limerick, Ireland",3 days ago,26 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,11-50 employees,Staffing and Recruiting,"About the jobAutomation EngineerPosition ResponsibilitiesIntegration and Debug of Machine control systems including servo motion and high speed device integration.Update & Validate PLC and control software as part of the installation of a highly automated production line.Develop User, Functional and Detailed Design SpecificationsWork as part of a team to develop high quality PLC and HMI code from Functional and Detailed Design SpecificationsWork within a cross functional multidiscipline team environment.Participates within project teams, provide technical support and make informed decisions on hardware and architecture selection.Fault-find complex automation equipmentMaintain comprehensive documentation of code to Medical Device standardsAdopt and promote a strong cultural Credo based code of conduct at Johnson & Johnson.Ensure effective execution & closure on Quality System documentation.Prioritize multiple tasks while working to tight schedulesPrimary TasksIntegration and Debug of Machine control software.Participate among cross-functional teams to ensure projects are delivered on time and to required quality standards.Develop, debug and validate Control System software programsAnalyse, understand, fault-find and modify automation softwareStrong analytical and problem-solving skillsAbility to organize, plan and execute multiple tasks to tight schedules, to ensure deliverables on time and within budget.Highly motivated self-starterAbility to document own work clearly and preciselyStrong communication skills and provide technical expertise.Monitor and analyse opportunities for the development of new or improved solutions.Attention to detailProvide training and mentoring to less experience staff.Skills, Abilities and EducationBachelor Degree in Engineering, Computer Science OR equivalent5/6 years’ experience working with automated control systems as part of a machine design team.Strong PLC background in Allen Bradley ControlLogix 5000, Allen Bradley Guard Logix, Schneider, Pilz Safety PLCs and Wonderware Intouch/ArchestrA, FactoryTalk View HMI software.Additional knowledge of Servo Motion Control, printer systems, vision systems, robotics, BCR, Distributed Systems, data analytics, RFID systems would be beneficialAccustomed to working in a validated environment with strong discipline with regard to change control.",ireland
 Junior RPA Developer,Senior Automation Engineer,Sterling Engineering Ltd - Ireland & Europe,"County Louth, Ireland",2 weeks ago,5 applicants,Not Provided,"On-site
", Full-time , Mid-Senior level,201-500 employees,Staffing and Recruiting,"About the jobPosition: Senior Automation Engineer Location: LouthRenumeration package to reflect experience and qualifications.Our Client produce high quality automation solutions that impacts on the execution of real-world machinery and processes. Their automation enables autonomous aqua drones to navigate the seas, robots to assemble complex products, pharmaceuticals to produce life-changing medicines.They are a fast-growing company with great career opportunities, an ideal candidate would want to grow with them and have the vision of building the automation machines and solutions of the future.They are looking for a highly motivated, result-driven and confident Senior Automation Engineer.As a Senior Automation Engineer, your role will be the development, commissioning and support of automation control systems across a wide spectrum of industries utilising cutting edge technologies. You will be responsible for system designs, standard library roadmap’s, specifications, programming, simulation, testing and overseeing commissioning.The candidate must possess the technical expertise to maintain, develop, troubleshoot and validate these systems in a compliant manner. Responsibilities:Manage the specification, development, installation and validation of automation projects within budget and corporate guidelines.Software development of bespoke machines & manufacturing systems.Interact with the customers on technical requirements.Assess existing technologies and processes.Design and deliver best in class automation solutions.Work within a team and upskill junior engineers.Document the project and manage change control.Work independently and manage multiple tasks under tight deadlines.Ability to take ownership of projects.Qualifications:Third level qualification in Automation, Electrical, Mechanical, Electronic, Computer Science5+ Years industry experienceIndustry experience with preference for Rockwell Studio 5000, FT View, Ignition, Siemens TIA Portal/Step7, OSI PI Historian, VBA.Knowledge of 21 CFR Part 11 and GAMP an advantageCisco Networking qualification and or VMware or equivalent qualification an advantageKnowledge of Robotics and safety standards an advantageThorough knowledge of automation principles and proceduresAmbitious, confident and professional individual with strong communication and organisational skillsBy applying to this job post you agree that Sterling Engineering may process your personal data for recruitment purposes.For more information and a confidential chat please contact Gerard Cunniffe on 086 190 8885 or gcunniffe@sterlingengineeringeu.com",ireland
 Junior RPA Developer,Electronic Engineer,Dairymaster,"Causeway, County Kerry, Ireland",2 weeks ago,20 applicants,Not Provided,"Hybrid
", Full-time , Associate,201-500 employees,Industrial Machinery Manufacturing,"About the jobRequirements:Proven ability to design printed circuit boards and PCB layout experience essential.Ability to undertake electronic component sourcing & selection for the products.Proven ability to analyse technical development/design issues and manage them to resolution.Excellent analytical and problem solving skills, an ability to understand complex problems and generate appropriate pragmatic technical solutions.Ability to work on own initiative, and as part of a team, in a fast paced environment with attention to detail.Desirable Skills/Experience:B. Eng. in Electronics Design.Experience with PCB Design software.Experience with optical technologies and sensors.Experience of STM32 family of 32-bit microcontrollersKnowledge of PCB production processesKnowledge of C programming & AltiumKnowledge of ARM Cortex M3.Knowledge of dairy farming.",ireland
 Junior RPA Developer,Electronic Hardware Engineer,Actalent,"Dublin, County Dublin, Ireland",4 weeks ago,9 applicants,Not Provided,"On-site
", Full-time , Mid-Senior level,"5,001-10,000 employees",Business Consulting and Services,"About the jobAre you a skilled Electronics Hardware Engineer with a passion for designing and developing cutting-edge hardware solutions for complex medical devices? If so, we want you to join our client a global medical device manufacturer. You'll collaborate closely with their software and firmware engineers to ensure the seamless operation of their biggest product. As an Electronics Engineer, you'll report to the Electrical Systems Manager and take charge of product development, design, and testing.Key Responsibilities:Master the use of Altium Designer for design implementations.Develop and validate prototype hardware designs, including building and testing prototype boards.Create and present system architecture designs internally and externally.Conduct hardware design reviews and actively participate in customer requirements reviews.Work with various technologies like Bluetooth (BLE), LoRa, and wired interfacing systems (CanBus, UART, MODBUS, RS485, RS232, SPI, I2C).Follow industry-standard processes and procedures.Coordinate with the verification team to conduct tests and report on system responses.Qualifications/Skills:Bachelor's or Master's degree in Electronic Engineering or a related technical field, with a minimum of 3 years of industry experience.Proficiency in programming languages like C, C++, and Python.Experience in high-speed PCB design, digital design techniques, and state-of-the-art RF design.Knowledge of DC-DC converters and battery-powered designs for low-power connected devices.Understanding of embedded software development, including platforms like Arduino, Raspberry Pi, and ESP32.Please note that eligibility to work and live in Ireland is required.",ireland
 Junior RPA Developer,2024 Ireland Graduate Electrical Engineer: Energy,Mott MacDonald,"Dublin, County Dublin, Ireland",Reposted 1 week ago,5 applicants,Not Provided,Full-time , Entry level,Not Provided,"10,001+ employees",Civil Engineering,"About the jobJob DescriptionPlease note that for these graduate opportunties we are happy for you to simply apply with a CV and the option to include a cover letter. We don't have a closing date at this stage, however, we recommend that you apply soon so that you don't miss out. Our electrical engineers work in world class teams to design and deliver sustainable solutions. Our work spans a variety of sectors including energy, aviation, buildings, ports, rail & metros, and water. In our energy sector we undertake projects in power transmission and distribution, energy systems, hydropower, renewable energy, thermal generation, nuclear services, and oil & gas.This particular role will be within our power transmission and distribution team.As the digital revolution is applied to the provision of essential services, electrical engineering will play a central role in creating smart infrastructure, helping to deliver better and quicker performance.We have opportunities in our Cork and Dublin offices.Candidate SpecificationWe are looking for committed and motivated graduates with a genuine passion and a desire to make a difference in the world. If this describes you, apply today to launch your career at Mott MacDonald.To Be Eligible For This Opportunity, You Will Have Less Than 12 Months Relevant Experience And Have a Degree Or Are Expected To Achieve One Of The Following Degree DisciplinesElectrical EngineeringPower Engineering Energy Engineering or similar In your application you should be able to demonstrate your interest in the role and working at Mott MacDonald through relevant experience, such as studying relevant modules, or previous work experience.We Are Looking For Graduates With The Following CharacteristicsMethodical approach to problem solving.Ability to use your initiative to undertake tasks efficiently and independently.Excellent verbal communication skills, which allow you to confidently liaise with clients and team members.Excellent written communication and attention to detail and be able to demonstrate accurate technical drawings and good report writing.As we want the best people for the role, we support flexible working. Please ask us at interview stage about any flexibility you may need.Job ProfileAbout Your Development A graduate position should be more than just a job. We know this and so do you. That’s why with our graduate roles, we aim to give you the experience and technical knowledge you need to progress your career.  From the moment you join us, you’ll receive the training you need. You will be assigned a mentor who will support you on your journey to gaining professional recognition within your chosen discipline  What else is involved? You’ll be enrolled onto Accelerate Your Future, a structured three-year soft-skills development programme alongside all of the other graduates in your cohort across our Europe & UK region. In partnership with Cappfinity, a global leader in talent mobility, we have identified the skills that drive success amongst early career talent within Mott MacDonald, and have designed a learning experience to enable you to develop these skills delivered through a mix of residential events, classroom-based learning, virtual webinars, and group challenges. Also giving you the opportunity to network and meet other graduates in your cohort. We understand that each person’s career goals vary, therefore we tailor make each individual’s development journey to suit them. With our vast library of e-learning courses available to you, you can choose which direction you want your career to go in. You will have the opportunity to make a difference; learn more about our Social Outcomes and the difference we can make!You’re probably wondering what else is on offer. Join us, and you’ll get:Biannual salary reviews: we believe that hard work should be rewarded and recognised. Therefore, for the first three years of your career with us, you’ll have biannual salary reviews.A competitive salary: in addition to biannual reviews, we will ensure that you’re given a salary that matches the current industry standard.Contributory pension up to 7% of your salary: we have the best people on our team, and we like to look out for them. With our support, you’ll have all the advice and options you need to be able to invest in your future.Our social sideBeing part of Mott MacDonald means more than just work, there’s a huge range of fun and exciting things that you can get involved in.From the moment you join us, you’ll have the opportunity to expand your social and professional network, whether it’s meeting other graduates or joining forces with other members of staff from around the company at our annual sports day. Each of our offices have a sports and social committee which will give you the chance to be part of a variety of sports, social and charity events. We’re committed to promoting a strong culture of social responsibility and encourage our staff to play active roles in the local community.It's worth noting that sports and social committees tend to vary from office to office, so as well as getting involved in what’s already on offer, don’t be afraid to suggest new events or initiatives that you think could be a great addition.Other InformationEquality, diversity and inclusionWe put equality, diversity and inclusion at the heart of our business, seeking to promote fair employment procedures and practices to ensure equal opportunities for all. We encourage individual expression in our workplace and are committed to creating an inclusive environment where everyone feels they have the opportunity to contribute.Agile workingAt Mott MacDonald, we believe it makes business sense for you and your manager to choose how you can work most effectively to meet your client, team and personal commitments. We embrace agility, flexibility and trust.More About Mott MacDonaldWe’re a global engineering, management and development consultancy.Our purpose is to improve society by considering social outcomes in everything we do, relentlessly focusing on excellence and digital innovation, transforming our clients’ businesses, our communities and employee opportunities.A fundamental part of this is respecting each person’s differences and striving to meet their needs.Our values: progress, respect, integrity, drive, excellenceJob Ref66869BRRecruiter Contactearlycareers.recruitment@mottmac.comCountryIrelandRegion/StateALL - IrelandDisciplineConsultancySectorBuilt environmentWebsite RegionEurope and Central AsiaWebsite SectorBuildings",ireland
 Junior RPA Developer,Senior Automation Engineer,Morgan McKinley,"Limerick, County Limerick, Ireland",2 weeks ago,0 applicants,Not Provided,"On-site
", Contract , Mid-Senior level,"1,001-5,000 employees",Staffing and Recruiting,"About the jobGreat opportunity for a Senior Automation Engineer to join a leading medical devices company in Limerick on a long term hourly rate contract. Hourly rate depending on experience.Multiple positions available due to many exciting projects pipelined.Job Responsibilities:Develop a strong understanding of the business, strategic direction, overall organizational goals and individual user needs.Lead Automation team as part of a project, to deliver robust technical solutions as per project timelines.Development of machine design control systems including servo motion and high-speed device integration.Develop, test and install PLC and control software as part of a highly automated, high volume 24/7 validated production environmentDevelop User, Functional and Detailed Design SpecificationsDevelop high quality PLC and HMI code from Functional and Detailed Design SpecificationsWork within a cross functional multidiscipline team environment.Participates within project teams, provide technical support and make informed decisions on hardware and architecture selection.Provide ideas and solutions for the improvement and development of control systems.Fault-find complex automation equipmentEnsure effective closure on Quality System documentation and NC/CAPA actionsPrioritize multiple tasks while working to tight schedulesEducation & Experience:Degree level qualified in a related field of study.5+ years experience in a similar role.Strong PLC background in Allen Bradley ControlLogix 5000, Allen Bradley Guard Logix, Schneider, Pilz Safety PLCs and Wonderware Intouch/ArchestrA, FactoryTalk View HMI software.For more information on the role please feel free to contact our specialist engineering recruiter Gerard Crowley by calling 021 2 300 300 or by emailing gcrowley@morganmckinley.com",ireland
 Junior RPA Developer,Senior Electrical Engineer,IN2 Engineering,"Athlone, County Roscommon, Ireland",Reposted 5 days ago,1 applicant,Not Provided,"On-site
", Full-time , Mid-Senior level,51-200 employees,Engineering Services,"About the jobCareers at IN2 offer you the opportunity to be part of an Award-winning MEP team who deliver sustainable, energy efficient projects from Design through to Handover and beyond. We have a remarkable team, spanning across four locations in Ireland and the UK. At IN2, we welcome and encourage all employees to share their knowledge and expertise whilst continuing to develop their own career with the strong support of our Senior Leaders. Our culture of creativity and adaptability is central to our mission and values and success to date.Senior Electrical Engineer – Building ServicesWe are currently seeking the expertise of an experienced Senior Electrical Engineer to join our team of Consultants at our Athlone office. This is a permanent role with an excellent package on offer for the right candidate. You will have solid technical knowledge in Electrical Design Engineering and a Degree in Building Services Engineering or Electrical Engineering along with a minimum of 4 years Electrical Design experience ideally within a Consultancy environment. You will be passionate about progressing in your career with an aspiration to obtain Chartered Status if not already obtained.Your role with comprise of assisting our Senior Engineers in day-to-day project management, on-site inspections, technical surveys and attending design team meetings. You will play an active role in Project delivery from conception to completion and you will assist the management team in building relationships with clients and also assist in budgeting and reporting.You will contribute to IN2’s strong ethos of mentoring Junior staff by reviewing design work and offering support and your expertise. You will receive mentoring from our Senior Engineers, who will guide and support you to the next step in your career.Requirements:4 or more years relevant experience Related QualificationCurrent Irish working Visa Benefits:Competitive salary and benefits packageFlexible working environment and good work/life balanceFlexible work from office/home structure (located in a coworking space with access to barista coffee, snacks, lively common areas... and beer on tap)Continuous training and developmentTailored career development pathAnnual personal development planCompany bonus schemeCompany pension schemeAnnual salary reviewAbove standard annual leaveAn additional day of annual leave per year of service (T&C's apply)Additional days offered for special company events: Group Christmas party, charity events, team building, sports and lifestyle annual budgetAt IN2, we believe in building a strong, lasting social structure where collaborators become the best of themselves through tailored career paths. In doing so, we ensure a lasting impact on the building industry through our sustainable, responsible, and energy-efficient designs. IN2 is an equal opportunity employer. All applicants will be considered for employment without attention to race, ethnicity, religion, sex, sexual orientation, gender identity, national origin, or disability status.",ireland
 Junior RPA Developer,Graduate Electrical Engineer,Hays,"Dublin, County Dublin, Ireland",3 days ago,93 applicants,"€34,000/yr - €36,000/yr ","On-site
", Full-time , Entry level,"5,001-10,000 employees",Staffing and Recruiting,"About the jobGraduate Electrical Engineer, €34K - €36KExcellent training providedDublinYour new company are an MEP & Sustainability Consultant that offer a broad range of professional services that combine to make a real difference to their clients and the communities in which they work. They are Irish based with an international focus also.Sectors include retail, hospitality and specialist projects such as healthcare and pharma. Education, heritage buildings, and residential projects are also among the varied sectors we’ve collaborated on.Their work has been recognised with a number of awards and short listings for Net-Zero designs.Recruiting a Junior Electrical Design Engineer to join their team with projects including iconic Commercial, high end Residential and Government.Your new roleDesign of systems such as electrical distribution, small power, lighting and emergency lighting, fire detection and alarm, CT and vertical transportation.Use AutoCAD/Revit and other software packages of design and administration to plan, design and develop drawings.Design and specify Electrical Engineering Solutions according to current regulations and design standards.Collaborate directly with clients and project engineers to define project requirements and develop technical solutions.Establish and agree upon design processes and deliverables.What you'll get in returnYou will work in a Dublin City centre office, which is youthful and growing.A multicultural and informal working environment where you can develop professionally by being part of a team who enjoy what they do.They offer flexible arrangements, such as hybrid working, create a more inclusive way of working that supports our diversity and the wellbeing of our people.A strong corporate culture committed to its values: quality of work, holistic approach, humane organisation, straight and honourable dealings, social usefulness and reasonable prosperity.Continuous training and professional development that will allow you to adapt to the growing needs of our clients as we embrace digital transformation.",ireland
 Junior RPA Developer,"System Development Engineer, Edge Deployment Automation",Amazon Web Services (AWS),"Dublin, County Dublin, Ireland",Reposted 2 weeks ago,1 applicant,Not Provided,Full-time , Mid-Senior level,Not Provided,"10,001+ employees",IT Services and IT Consulting,"About the jobDescriptionAmazon’s network is a key differentiator for Amazon Cloud Computing and Web Services (AWS), enabling the global operation of thousands of applications across millions of servers worldwide. The Networking team develops and operates the network platform for all of Amazon including e-commerce products and cloud computing solutions. This platform is industry-leading for its efficiency, throughput and reliability, and it is critical to the success of hundreds of thousands of AWS customers.We are looking for a System Development Engineer to join our Network Automation team. Our team is responsible for software platforms that enable Amazon to safely operate and scale our network. An ideal candidate will have experience designing, building and maintaining mission critical software systems at scale, with a relentless focus on operational and engineering excellence.As a System Development Engineer, You Will Design, implement, test, deploy and maintain innovative solutions to transform service performance, durability, cost, and security. Write high quality distributed system software Enjoy seeing the impact of your work has on customers. Work in an agile, startup-like development environment, where you are always working on the most important stuff. Take ownership and do what it takes to get the job done. Learn from others and help grow those in your team to achieve their best.About UsHere at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have ten employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.Work/Life BalanceOur team puts a high value on work-live balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfilment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.Mentorship & Career GrowthOur team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. Our senior members enjoy one-on-one mentoring and thorough, but kind, code reviews. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded engineer and enable them to take on more complex tasks in the future.Learn more about Amazon on our Day 1 Blog: https://blog.aboutamazon.com/”Key job responsibilitiesYou will manage/scale/deploy/operate/write tools for supporting network engineers' everyday operations. These tools operate in a complex environment, of which you will be building a deep knowledge.Your central point of reference for all of your decisions will be our customers. Working with our customers you will capture and document their needs, the solutions to their problems, implement and maintain them.We are open to hiring candidates to work out of one of the following locations:Dublin, D, IRLBasic Qualifications 2+ years of non-internship professional software development experience 1+ years of designing or architecting (design patterns, reliability and scaling) of new and existing systems experience 7+ years of administrative experience in networking, storage systems, operating systems and hands-on systems engineering experience Knowledge of systems engineering fundamentals (networking, storage, operating systems) Experience programming with at least one modern language such as C++, C#, Java, Python, Golang, PowerShell, RubyPreferred Qualifications Experience working in an Agile environment using the Scrum methodologyAmazon is an equal opportunities employer. We believe passionately that employing a diverse workforce is central to our success. We make recruiting decisions based on your experience and skills. We value your passion to discover, invent, simplify and build. Protecting your privacy and the security of your data is a longstanding top priority for Amazon. Please consult our Privacy Notice (https://www.amazon.jobs/en/privacy_page) to know more about how we collect, use and transfer the personal data of our candidates.Our inclusive culture empowers Amazonians to deliver the best results for our customers. If you have a disability and need an adjustment during the application and hiring process, including support for the interview or onboarding process, please contact the Applicant-Candidate Accommodation Team (ACAT), Monday through Friday from 7:00 am GMT - 4:00 pm GMT. If calling directly from the United Kingdom, please dial +44 800 086 9884 (tel:+448000869884). If calling from Ireland, please dial +353 1800 851 489 (tel:+3531800851489).Company - Amazon Data Services Ireland LimitedJob ID: A2533227",ireland
